indication,clinical_severity,therapeutic_effectiveness_gap,access_affordability_gap,mechanistic_coverage_gap,competitive_density,repurposing_tractability,time_to_market_proximity
Glioblastoma,95,95,65,90,15000,3,4
Alzheimer's Disease,80,90,70,95,60000,2,2
Idiopathic Pulmonary Fibrosis,85,82,40,80,12000,5,6
Sickle Cell Disease,73,50,98,60,8500,8,7
Gastrointestinal Acute Radiation Syndrome,99,98,30,55,50,1,1
Mucopolysaccharidosis Type VI,72,63,80,10,200,4,3
Breast Cancer,60,30,60,75,300000,9,9
Cisplatin-Associated Nephrotoxicity,40,85,25,45,1500,6,5
Hereditary Xerocytosis,28,76,35,20,100,7,8
POF,10,60,5,50,3000,3,4
BCC,5,10,20,30,10000,10,10
